NHIS Knowledge Base — Lookup Guide,
Prescribing Level A,"CHPS Compounds, Community Health Posts — lowest level, accessible everywhere"
Prescribing Level B,"Health Centres, Clinics, Maternity Homes, Polyclinics"
Prescribing Level C,"Primary, Secondary, and District Hospitals"
Prescribing Level D,Specialist/Tertiary Hospitals only — requires referral
,
How to check coverage,"Search the 'Full Formulary' tab by Generic Name. If ON NHIS LIST = YES, it is covered."
Pharmacy dispute,"If pharmacist charges for a drug in this list, note the NHIA Code and call 0544446447"
Generic vs brand,NHIS covers GENERIC names only. Ask pharmacist for the INN/generic equivalent.
Source document,2025 NHIS Medicines List PDF — www.nhis.gov.gh
Effective date,1 March 2025
Next formulary review,March 2026 (check nhis.gov.gh for updates)
Complaint line,0544 446 447 / 0302 238136
NHIA email,info@nhia.gov.gh
