hospital_code,facility_type,facility_name,town,region,services_offered,contact,nhis_accredited
H001,Teaching Hospital,Korle Bu Teaching Hospital,"Accra, Greater Accra",Greater Accra,All specialties,033-2-665401,Yes
H002,Teaching Hospital,Komfo Anokye Teaching Hospital,"Kumasi, Ashanti",Ashanti,All specialties,032-2-022301,Yes
H003,Teaching Hospital,Tamale Teaching Hospital,"Tamale, Northern",Northern,All specialties,037-2-022615,Yes
H004,Teaching Hospital,Cape Coast Teaching Hospital,"Cape Coast, Central",Central,All specialties,033-2-134000,Yes
H005,Teaching Hospital,Ho Teaching Hospital,"Ho, Volta",Volta,All specialties,036-2-026851,Yes
H006,Regional Hospital,Bolgatanga Regional Hospital,Bolgatanga,Upper East,General & specialist,037-2-023174,Yes
H007,Regional Hospital,Wa Regional Hospital,Wa,Upper West,General & specialist,039-2-022269,Yes
H008,Regional Hospital,Sunyani Regional Hospital,Sunyani,Bono,General & specialist,035-2-027283,Yes
H009,Regional Hospital,Koforidua Regional Hospital,Koforidua,Eastern,General & specialist,034-2-022320,Yes
H010,Regional Hospital,Sekondi-Takoradi Regional Hospital,Sekondi,Western,General & specialist,031-2-046114,Yes
H011,Regional Hospital,Techiman Regional Hospital,Techiman,Bono East,General & specialist,035-2-091010,Yes
H012,Regional Hospital,Goaso Regional Hospital,Goaso,Ahafo,General & specialist,,Yes
H013,Regional Hospital,Dambai Regional Hospital,Dambai,Oti,General & specialist,,Yes
H014,Regional Hospital,Nalerigu Regional Hospital,Nalerigu,North East,General & specialist,,Yes
H015,Regional Hospital,Damongo Regional Hospital,Damongo,Savannah,General & specialist,,Yes
H016,Regional Hospital,Sefwi Wiawso Regional Hospital,Sefwi Wiawso,Western North,General & specialist,,Yes
H017,District Hospital,Tema General Hospital,Tema,Greater Accra,General,030-2-209461,Yes
H018,District Hospital,Accra Ridge Hospital,Accra,Greater Accra,General,030-2-670523,Yes
H019,District Hospital,37 Military Hospital (Civilian Wing),Accra,Greater Accra,General & specialist,030-2-776111,Yes
H020,District Hospital,La General Hospital,Accra,Greater Accra,General,030-2-716200,Yes
H021,District Hospital,Achimota Hospital,Accra,Greater Accra,General,030-2-407561,Yes
H022,District Hospital,Effia-Nkwanta Regional Hospital,Sekondi,Western,General & specialist,031-2-046114,Yes
H023,District Hospital,Okomfo Anokye Hospital Annex (KATH),Kumasi,Ashanti,General,032-2-022301,Yes
