2025 NHIS Medicines List (Formulary) — 551 Medicines | Effective 1 March 2025,,,,,,,,
Source: www.nhis.gov.gh/files/2025 NHIS ML.pdf  |  Extracted: April 2025  |  Next Review: March 2026,,,,,,,,
NHIA Code,Generic Name (INN),Dosage Form,Strength,Unit of Pricing,Price (GH₵),Prescribing Level,Category,On NHIS List
▸  Analgesics & Antipyretics,,,,,,,,
A001,Paracetamol,Tablet,500mg,Pack of 1000,45.00,A (All levels),Analgesics & Antipyretics,YES
A002,Paracetamol,Syrup,120mg/5ml,Bottle 100ml,12.00,A (All levels),Analgesics & Antipyretics,YES
A003,Paracetamol,Suppository,125mg,Pack of 10,18.00,B (Health Centre+),Analgesics & Antipyretics,YES
A004,Paracetamol,Suppository,250mg,Pack of 10,22.00,B (Health Centre+),Analgesics & Antipyretics,YES
A005,Aspirin,Tablet,300mg,Pack of 1000,38.00,B (Health Centre+),Analgesics & Antipyretics,YES
A006,Ibuprofen,Tablet,200mg,Pack of 500,55.00,B (Health Centre+),Analgesics & Antipyretics,YES
A007,Ibuprofen,Tablet,400mg,Pack of 500,72.00,B (Health Centre+),Analgesics & Antipyretics,YES
A008,Ibuprofen,Syrup,100mg/5ml,Bottle 100ml,18.00,B (Health Centre+),Analgesics & Antipyretics,YES
A009,Diclofenac Sodium,Tablet,50mg,Pack of 500,95.00,B (Health Centre+),Analgesics & Antipyretics,YES
A010,Diclofenac Sodium,Injection,"25mg/ml, 3ml",Ampoule,8.50,C (Hospital+),Analgesics & Antipyretics,YES
A011,Morphine,Tablet,10mg,Pack of 100,185.00,D (Specialist),Analgesics & Antipyretics,YES
A012,Morphine,Injection,"10mg/ml, 1ml",Ampoule,22.00,D (Specialist),Analgesics & Antipyretics,YES
A013,Pethidine,Injection,"50mg/ml, 2ml",Ampoule,28.00,D (Specialist),Analgesics & Antipyretics,YES
A014,Tramadol,Capsule,50mg,Pack of 100,145.00,C (Hospital+),Analgesics & Antipyretics,YES
A015,Tramadol,Injection,"50mg/ml, 2ml",Ampoule,12.00,C (Hospital+),Analgesics & Antipyretics,YES
▸  Antibiotics,,,,,,,,
B001,Amoxicillin,Capsule,250mg,Pack of 500,120.00,A (All levels),Antibiotics,YES
B002,Amoxicillin,Capsule,500mg,Pack of 500,180.00,A (All levels),Antibiotics,YES
B003,Amoxicillin,Powder for Oral Suspension,125mg/5ml,Bottle 100ml,15.00,A (All levels),Antibiotics,YES
B004,Amoxicillin + Clavulanic Acid,Tablet,500mg+125mg,Pack of 100,320.00,B (Health Centre+),Antibiotics,YES
B005,Amoxicillin + Clavulanic Acid,Powder for Oral Suspension,250mg+62.5mg/5ml,Bottle 100ml,55.00,B (Health Centre+),Antibiotics,YES
B006,Ampicillin,Capsule,250mg,Pack of 500,95.00,A (All levels),Antibiotics,YES
B007,Ampicillin,Powder for Injection,500mg,Vial,12.00,B (Health Centre+),Antibiotics,YES
B008,Benzylpenicillin (Penicillin G),Powder for Injection,600mg (1MU),Vial,18.00,B (Health Centre+),Antibiotics,YES
B009,Benzylpenicillin (Penicillin G),Powder for Injection,3g (5MU),Vial,38.00,C (Hospital+),Antibiotics,YES
