service_code,category,service_name,description,facility_requirement,notes
S001,Outpatient,General Outpatient Consultation,Consultation & assessment by medical officer or nurse,All accredited facilities,No limit stated
S002,Outpatient,Specialist Outpatient Consultation,Assessment and treatment by specialist,Hospitals with specialists,Referral required
S003,Outpatient,Nursing Care (Outpatient),"Wound dressing, injections, minor procedures",All accredited facilities,
S004,Outpatient,Eye Care (Outpatient),"Examination, refraction, basic treatment",Accredited eye centres,
S005,Outpatient,Dental Care (Outpatient),"Extraction, fillings, oral hygiene instruction",Accredited dental facilities,Excludes cosmetic
S006,Outpatient,Mental Health (Outpatient),"Psychiatric consultation, counselling, medication",Accredited mental health units,
S007,Outpatient,Physiotherapy,Rehabilitative exercises and treatment,Accredited physiotherapy centres,
S008,Outpatient,Family Planning,Contraceptive counselling and supply,All accredited facilities,
S009,Inpatient,General Ward Admission,"Bed, nursing care, meals, basic medications",All hospitals,
S010,Inpatient,Specialist Ward Admission,Specialist-supervised inpatient care,Referral hospitals,Referral required
S011,Inpatient,Intensive Care Unit (ICU),Critical care monitoring and treatment,Teaching/Regional hospitals,
S012,Inpatient,High Dependency Unit (HDU),Intermediate-level critical care,Selected hospitals,
S013,Inpatient,Isolation Ward,Care for infectious/communicable disease cases,Designated hospitals,
S014,Inpatient,Surgical Ward,Pre- and post-operative inpatient care,Hospitals with surgical units,
S015,Surgical,Appendicectomy,Surgical removal of appendix,Hospitals with surgical units,
S016,Surgical,Caesarean Section,Surgical delivery of baby,Hospitals with surgical units,
S017,Surgical,Hernia Repair,Inguinal/umbilical hernia repair,Hospitals with surgical units,
S018,Surgical,Hysterectomy,Surgical removal of uterus,Referral hospitals,Specialist required
S019,Surgical,Cholecystectomy,Removal of gallbladder,Hospitals with surgical units,
S020,Surgical,Prostatectomy,Surgical treatment of prostate,Referral hospitals,Specialist required
S021,Surgical,Wound Debridement,Cleaning and removal of dead tissue,All hospitals,
S022,Surgical,Fracture Management (Closed),Casting and immobilisation of fractures,All hospitals,
S023,Surgical,Fracture Management (Open),Surgical fixation of fractures,Hospitals with ortho unit,
S024,Surgical,Cataract Surgery,Removal of cataract lens,Accredited eye centres,
S025,Surgical,Tonsillectomy,Removal of tonsils,ENT-equipped hospitals,
S026,Surgical,Circumcision (Medical),Surgical circumcision for medical indications,All hospitals,
S027,Maternal & Child Health,Antenatal Care,"Routine ANC visits, screening, counselling",All accredited facilities,
S028,Maternal & Child Health,Skilled Delivery (Normal),Normal vaginal delivery by trained provider,All accredited facilities,
S029,Maternal & Child Health,Postnatal Care,Care of mother and baby after delivery,All accredited facilities,
S030,Maternal & Child Health,Neonatal Care,Care of newborn including resuscitation,Hospitals with neonatal unit,
S031,Maternal & Child Health,Immunisation,All EPI vaccines,All accredited facilities,Free for under-5s
S032,Maternal & Child Health,Child Welfare Clinic,"Growth monitoring, nutrition counselling",All accredited facilities,Free for under-5s
S033,Maternal & Child Health,Prevention of Mother-to-Child Transmission (PMTCT),ARV prophylaxis for HIV+ mothers,All accredited facilities,
S034,Diagnostic,Full Blood Count (FBC),Complete blood picture analysis,Accredited laboratories,
S035,Diagnostic,Malaria Rapid Diagnostic Test (RDT),Rapid malaria antigen test,All accredited facilities,
S036,Diagnostic,Malaria Thick & Thin Film,Microscopy for malaria parasites,Accredited laboratories,
S037,Diagnostic,Blood Group & Rhesus Typing,ABO and Rh blood group,Accredited laboratories,
S038,Diagnostic,Urinalysis,Routine urine examination,All accredited facilities,
S039,Diagnostic,Urine Culture & Sensitivity,Microbiological urine analysis,Accredited laboratories,
S040,Diagnostic,Stool Microscopy,"Ova, cysts and parasites",Accredited laboratories,
S041,Diagnostic,Random Blood Sugar (RBS),Blood glucose measurement,All accredited facilities,
S042,Diagnostic,Fasting Blood Sugar (FBS),Fasting glucose measurement,Accredited laboratories,
