NHIS Formulary — Summary by Therapeutic Category,,,
Category,No. of Medicines,Min Price (GH₵),Max Price (GH₵)
Anaesthesia/Surgical,6,5.00,320.00
Analgesics & Antipyretics,15,8.50,185.00
Antibiotics,40,8.00,420.00
Antifungals,10,8.50,320.00
Antimalarials,10,3.50,95.00
Antiparasitic/Anthelmintics,6,3.50,220.00
Antiretrovirals (PMTCT/PEP),4,75.00,145.00
Antiseptics,4,5.00,25.00
CNS/Neurological,17,8.00,280.00
Cardiovascular,25,5.00,320.00
Dental/Oral Health,3,8.00,35.00
Dermatology,8,10.00,45.00
Diabetes/Endocrine,14,5.00,280.00
Diagnostics,1,45.00,45.00
Gastrointestinal,13,2.00,145.00
IV Fluids,8,18.00,32.00
Ophthalmology,8,6.00,22.00
Reproductive Health,7,5.00,95.00
Respiratory,8,12.00,110.00
Vaccines (Govt-funded),3,0.00,0.00
Vitamins & Minerals,12,1.50,45.00
